,Size,Society,Location,total_sqft,Available by,Age(in yrs),Status,Price(In Lakhs)
,2,Millennium Pacific,Tathawade,650, Sep 2025,0,New,62.77
0,3,Bhandari 43 Privet Drive C Building,Balewadi,1465, Aug 2023,0,New,228
1,2,Malpani Cereza,Tathawade,1012, Feb 2023,0,New,45.5
2,2,Kohinoor Viva City,Dhanori,734, Dec 2026,0,New,63
3,1,Karia Indrayu Enclave II,hingne Khurd,489,Ready To Move,1,Resale,36
4,3,Krrisha Acropolis,Kalewadi,1625,Ready To Move,2,Resale,104
5,2,Rama Nakshatram,Chinchwad,950,Ready To Move,15,Resale,62
6,2,Nyati Exuberance,Undri,703, Nov 2024,0,New,60
7,3,Rachana Bella Casa,Sus,1575,Ready To Move,3,Resale,125
8,1,Duville Riverdale Heights,Kharadi,772, Nov 2026,0,New,89.69
9,4,Lodha Kharadi Pune Phase II Tower 7,Wagholi,2228, Apr 2027,0,New,209
10,2,Rajmata Trinity Greens,Wakad,787,Ready To Move,2,Resale,45.27
11,3,Majestique Marbella Phase V,Kharadi,1671,Ready To Move,3,Resale,93.42
12,2,Nyati Elan West III,Wagholi,810, Sep 2025,0,New,44
13,2,Nyati Elysia II,Kharadi,910, Mar 2022,0,New,66.5
14,1,DSK Sundarban,Hadapsar,620, May 2022,0,New,40
15,1,Aristo Shanti Vihar,Bavdhan,580, Feb 2023,0,New,51.32
16,2,Sukhwani Skylines,Pashan,950,Ready To Move,2,Resale,85
17,4,Majestique Ornate,Baner,2082,Ready To Move,4,Resale,275
18,2,VTP Hi Life Phase 2,Thergaon,600, Nov 2023,0,New,66
19,3,Kalpataru Crescendo,Wakad,1500, Feb 2025,0,New,135
20,5,Supreme Amadore,Baner,4875, Dec 2025,0,New,435
21,2,Voski Emerald II,Kharadi,1219,Ready To Move,2,Resale,76.32
22,1,Mak Shades View Phase II,Wakad,620, Aug 2026,0,New,48
23,2,Shree Harmony Plaza,Ravet,974,Ready To Move,2,Resale,48.2
24,3,Ishwar River Residency,Moshi,1155, Dec 2025,0,New,68
25,2,Godrej Hillside 1,Mahalunge,984, Nov 2023,0,New,52.38
26,2,Swaraj Vision,Tathawade,900, Mar 2023,0,New,45
27,3,Godrej Parkridge,Manjari,724, Mar 2025,0,New,72.59
28,2,Bhandari 32 Pinewood Drive Phase 1,Hinjewadi,770, Dec 2026,0,New,58
29,3,N B Bhalchandra Upvan,Tathawade,1130, Mar 2023,0,New,61.54
30,2,Aditya Comfort Zone,Baner,1100, Dec 2026,0,New,100
31,2,Icon Imperio,Wagholi,1180, Mar 2024,0,New,60
32,3,Saheel Itrend Life,Baner,1914, May 2024,0,New,200
33,1,Enerrgia Skyi Songbirds,Bavdhan,666,Ready To Move,3,Resale,32.63
34,3,Enerrgia Skyi Songbirds,Bavdhan,1900,Ready To Move,3,Resale,132
35,2,VTP Bellissimo Phase 1,Hinjewadi,910, Feb 2026,0,New,62
36,1,Icon Viva,Hinjewadi,699,Ready To Move,5,Resale,41.94
37,2,Jhamtani Ace Aurum,Ravet,398, May 2025,0,New,51.17
38,1,Sneh Akshay Anantam,Wakad,675, Feb 2025,0,New,40
39,2,Nivasa Udaan,Lohegaon,950, Jul 2025,0,New,52
40,1,Magarpatta Heliconia,Hadapsar,450, May 2023,0,New,40
41,2,Sheth Beverly Hills,Wagholi,1000,Ready To Move,2,Resale,28
42,2,Sai Proviso Leisure Town,Hadapsar,728, Nov 2023,0,New,72.45
43,2,Solitaire Palms D,Moshi,579, Dec 2025,0,New,37.5
44,3,Kundan Emirus,Baner,2310, Dec 2025,0,New,250
45,2,Kool Green Valley,Bavdhan,1100, Nov 2026,0,New,105
46,4,Panchshil Township,Kharadi,3350,Ready To Move,5,Resale,330
47,2,K Raheja Raheja Reserve,Kondhwa,825, Aug 2024,0,New,86
48,1,Ganesh Siddhi A Wing,Chikhali,610,Ready To Move,1,Resale,29.45
49,2,A P Akshay Galaxy Building B,Kondhwa,912, Jun 2023,0,New,48.3
50,2,Prithvi Proximus,Hadapsar,580, Dec 2023,0,New,72.36
51,1,Rohan Ananta Phase I,Wagholi,3000, Feb 2023,0,New,39
52,4,Clover Park Royale,Koregaon Park,3400, Nov 2026,0,New,440
53,3,Mantra Miraki Akurdi,Akurdi,989, Dec 2025,0,New,121
